sanger_batch	sanger_plate_well	bacteria_plate_well	location	google_drive_id
batch20250606	A01	A01	Haunisten Allas	HA_A1
batch20250606	A02	A02	Haunisten Allas	HA_A2
batch20250606	A03	B03	Haunisten Allas	HA_B3
batch20250606	A04	A05	Haunisten Allas	HA_A5
batch20250606	A05	B06	Haunisten Allas	HA_B6
batch20250606	A06	C07	Haunisten Allas	HA_C7
batch20250606	A07	F08	Haunisten Allas	HA_F8
batch20250606	A08	A10	Haunisten Allas	HA_A10
batch20250606	A09	C11	Haunisten Allas	HA_C11
batch20250606	A10	H02	Savojärvi	SJ_H2
batch20250606	A11	E06	Savojärvi	SJ_E6
batch20250606	A12	F10	Savojärvi	SJ_F10
batch20250606	B01	B01	Haunisten Allas	HA_B1
batch20250606	B02	B02	Haunisten Allas	HA_B2
batch20250606	B03	F03	Haunisten Allas	HA_F3
batch20250606	B04	B05	Haunisten Allas	HA_B5
batch20250606	B05	C06	Haunisten Allas	HA_C6
batch20250606	B06	D07	Haunisten Allas	HA_D7
batch20250606	B07	G08	Haunisten Allas	HA_G8
batch20250606	B08	B10	Haunisten Allas	HA_B10
batch20250606	B09	A12	Haunisten Allas	HA_A12
batch20250606	B10	A05	Savojärvi	SJ_A5
batch20250606	B11	F06	Savojärvi	SJ_F6
batch20250606	B12	A01	Turun Linna	TL_A1
batch20250606	C01	C01	Haunisten Allas	HA_C1
batch20250606	C02	C02	Haunisten Allas	HA_C2
batch20250606	C03	A04	Haunisten Allas	HA_A4
batch20250606	C04	C05	Haunisten Allas	HA_C5
batch20250606	C05	E06	Haunisten Allas	HA_E6
batch20250606	C06	F07	Haunisten Allas	HA_F7
batch20250606	C07	H08	Haunisten Allas	HA_H8
batch20250606	C08	C10	Haunisten Allas	HA_C10
batch20250606	C09	B12	Haunisten Allas	HA_B12
batch20250606	C10	B05	Savojärvi	SJ_B5
batch20250606	C11	A09	Savojärvi	SJ_A9
batch20250606	C12	B01	Turun Linna	TL_B1
batch20250606	D01	D01	Haunisten Allas	HA_D1
batch20250606	D02	E02	Haunisten Allas	HA_E2
batch20250606	D03	B04	Haunisten Allas	HA_B4
batch20250606	D04	E05	Haunisten Allas	HA_E5
batch20250606	D05	F06	Haunisten Allas	HA_F6
batch20250606	D06	A08	Haunisten Allas	HA_A8
batch20250606	D07	C09	Haunisten Allas	HA_C9
batch20250606	D08	D10	Haunisten Allas	HA_D10
batch20250606	D09	D12	Haunisten Allas	HA_D12
batch20250606	D10	C05	Savojärvi	SJ_C5
batch20250606	D11	C09	Savojärvi	SJ_C9
batch20250606	D12	C01	Turun Linna	TL_C1
batch20250606	E01	E01	Haunisten Allas	HA_E1
batch20250606	E02	F02	Haunisten Allas	HA_F2
batch20250606	E03	C04	Haunisten Allas	HA_C4
batch20250606	E04	F05	Haunisten Allas	HA_F5
batch20250606	E05	G06	Haunisten Allas	HA_G6
batch20250606	E06	B08	Haunisten Allas	HA_B8
batch20250606	E07	E09	Haunisten Allas	HA_E9
batch20250606	E08	E10	Haunisten Allas	HA_E10
batch20250606	E09	F12	Haunisten Allas	HA_F12
batch20250606	E10	D05	Savojärvi	SJ_D5
batch20250606	E11	D09	Savojärvi	SJ_D9
batch20250606	E12	D01	Turun Linna	TL_D1
batch20250606	F01	F01	Haunisten Allas	HA_F1
batch20250606	F02	G02	Haunisten Allas	HA_G2
batch20250606	F03	E04	Haunisten Allas	HA_E4
batch20250606	F04	G05	Haunisten Allas	HA_G5
batch20250606	F05	H06	Haunisten Allas	HA_H6
batch20250606	F06	C08	Haunisten Allas	HA_C8
batch20250606	F07	F09	Haunisten Allas	HA_F9
batch20250606	F08	F10	Haunisten Allas	HA_F10
batch20250606	F09	G12	Haunisten Allas	HA_G12
batch20250606	F10	E05	Savojärvi	SJ_E5
batch20250606	F11	F09	Savojärvi	SJ_F9
batch20250606	F12	E01	Turun Linna	TL_E1
batch20250606	G01	G01	Haunisten Allas	HA_G1
batch20250606	G02	H02	Haunisten Allas	HA_H2
batch20250606	G03	F04	Haunisten Allas	HA_F4
batch20250606	G04	H05	Haunisten Allas	HA_H5
batch20250606	G05	A07	Haunisten Allas	HA_A7
batch20250606	G06	D08	Haunisten Allas	HA_D8
batch20250606	G07	G09	Haunisten Allas	HA_G9
batch20250606	G08	G10	Haunisten Allas	HA_G10
batch20250606	G09	H12	Haunisten Allas	HA_H12
batch20250606	G10	F05	Savojärvi	SJ_F5
batch20250606	G11	H09	Savojärvi	SJ_H9
batch20250606	G12	G01	Turun Linna	TL_G1
batch20250606	H01	H01	Haunisten Allas	HA_H1
batch20250606	H02	A03	Haunisten Allas	HA_A3
batch20250606	H03	G04	Haunisten Allas	HA_G4
batch20250606	H04	A06	Haunisten Allas	HA_A6
batch20250606	H05	B07	Haunisten Allas	HA_B7
batch20250606	H06	E08	Haunisten Allas	HA_E8
batch20250606	H07	H09	Haunisten Allas	HA_H9
batch20250606	H08	H10	Haunisten Allas	HA_H10
batch20250606	H09	D02	Savojärvi	SJ_D2
batch20250606	H10	G05	Savojärvi	SJ_G5
batch20250606	H11	A10	Savojärvi	SJ_A10
batch20250606	H12	A02	Turun Linna	TL_A2
batch20250620	A01	B02	Turun Linna	TL_B2
batch20250620	A02	G04	Turun Linna	TL_G4
batch20250620	A03	G05	Turun Linna	TL_G5
batch20250620	A04	H06	Turun Linna	TL_H6
batch20250620	A05	B08	Turun Linna	TL_B8
batch20250620	A06	D09	Turun Linna	TL_D9
batch20250620	A07	C11	Turun Linna	TL_C11
batch20250620	A08	G12	Turun Linna	TL_G12
batch20250620	A09	E10	Haunisten Allas	HA_E10
batch20250620	A10	E06	Savojärvi	SJ_E06
batch20250620	B01	D02	Turun Linna	TL_D2
batch20250620	B02	H04	Turun Linna	TL_H4
batch20250620	B03	H05	Turun Linna	TL_H5
batch20250620	B04	A07	Turun Linna	TL_A7
batch20250620	B05	C08	Turun Linna	TL_C8
batch20250620	B06	E09	Turun Linna	TL_E9
batch20250620	B07	D11	Turun Linna	TL_D11
batch20250620	B08	H12	Turun Linna	TL_H12
batch20250620	B09	F12	Haunisten Allas	HA_F12
batch20250620	B10	F10	Savojärvi	SJ_F10
batch20250620	C01	G02	Turun Linna	TL_G2
batch20250620	C02	A05	Turun Linna	TL_A5
batch20250620	C03	A06	Turun Linna	TL_A6
batch20250620	C04	B07	Turun Linna	TL_B7
batch20250620	C05	D08	Turun Linna	TL_D8
batch20250620	C06	G09	Turun Linna	TL_G9
batch20250620	C07	E11	Turun Linna	TL_E11
batch20250620	C08	A05	Haunisten Allas	HA_A05
